Type,SKU,Name,Published,Parent,"Is featured?","Visibility in catalog","Short description",Description,"In stock?",Stock,Weight,Length,Width,Height,"Sale price","Regular price",Categories,Images,"Attribute 1 name","Attribute 1 value (s)","Attribute 1 visible","Attribute 1 global","Attribute 2 name","Attribute 2 value (s)","Attribute 2 visible","Attribute 2 global"
simple,AR1249,TARGET,1,,0,visible,"Bussola nautica","Bussola nautica in alluminio in confezione di latta.",1,9999,"13,8","0,575","0,275","0,215",100,110,"MIDOCEANBRANDS > Ufficio & Scrittura > Accessori ufficio > Luci da tavolo","https://cdn1.midocean.com/image/700X700/ar1249-16.jpg,https://cdn1.midocean.com/image/170X170/ar1249-16.jpg,https://cdn1.midocean.com/image/700X700/ar1249-16-print.jpg,https://cdn1.midocean.com/image/700X700/ar1249-16.jpg,https://cdn1.midocean.com/image/700X700/ar1249-16-box.jpg",,,,,,,,
simple,AR1253,BASICS,1,,0,visible,"Calcolatrice 12 cifre","Calcolatrice 12 cifre da tavolo solare o a batteria. In metallo e plastica. 1 pila bottone
                inclusa.",1,9999,"8,8","0,34","0,23","0,48",100,110,"MIDOCEANBRANDS > Ufficio & Scrittura > Accessori ufficio > Orologi e calcolatrici","https://cdn1.midocean.com/image/700X700/ar1253-16.jpg,https://cdn1.midocean.com/image/170X170/ar1253-16.jpg,https://cdn1.midocean.com/image/700X700/ar1253-16-print.jpg,https://cdn1.midocean.com/image/700X700/ar1253-16.jpg",,,,,,,,
simple,AR1470,"HIGH PARK",1,,0,visible,"Zaino picnic per 4 persone","Zaino picnic 4 persone con plaid, portabottiglie laterale, tasca frontale con doppia zip,
                utensili ed accessori di qualità. In poliestere 600D.",1,9999,"14,58","0,43","0,42","0,645",100,110,"MIDOCEANBRANDS > Sport & Ricreazione > All'aria aperta > Picnic e campeggio","https://cdn1.midocean.com/image/700X700/ar1470-01.jpg,https://cdn1.midocean.com/image/170X170/ar1470-01.jpg,https://cdn1.midocean.com/image/700X700/ar1470-01.jpg,https://cdn1.midocean.com/image/700X700/ar1470-01c.jpg,https://cdn1.midocean.com/image/700X700/ar1470-01a.jpg,https://cdn1.midocean.com/image/700X700/ar1470-01-ambiant.jpg,https://cdn1.midocean.com/image/700X700/ar1470-01b.jpg",,,,,,,,
simple,AR1589,COLUMBUS,1,,0,visible,"Portachiavi in metallo","Portachiavi in metallo e fascia in PU.Scatola regalo nera.",1,9999,"8,6","0,4","0,25","0,29",100,110,"MIDOCEANBRANDS > Premiums & Strumenti > Portachiavi > Basici","https://cdn1.midocean.com/image/700X700/ar1589-03.jpg,https://cdn1.midocean.com/image/170X170/ar1589-03.jpg,https://cdn1.midocean.com/image/700X700/ar1589-03-ambiant.jpg,https://cdn1.midocean.com/image/700X700/ar1589-03-print.jpg,https://cdn1.midocean.com/image/700X700/ar1589-03.jpg,https://cdn1.midocean.com/image/700X700/ar1589-03b.jpg,https://cdn1.midocean.com/image/700X700/ar1589-03a.jpg",,,,,,,,
variable,AR1800,NOTELUX,1,,,visible,"Quaderno 96 fogli neutri","Notebook A6 con copertina morbida in PU, 96 pagine neutre, con elastico.
            ",1,9999,"13,15","0,43","0,32","0,2",100,110,"MIDOCEANBRANDS > Ufficio & Scrittura > Notebooks > Cover rigida","https://cdn1.midocean.com/image/700X700/ar1800-03.jpg,https://cdn1.midocean.com/image/170X170/ar1800-03.jpg,https://cdn1.midocean.com/image/700X700/ar1800-03.jpg,https://cdn1.midocean.com/image/700X700/ar1800-03b.jpg,https://cdn1.midocean.com/image/700X700/ar1800-03-open.jpg,https://cdn1.midocean.com/image/700X700/ar1800-03-ambiant.jpg",Color,"black, blue, red, white, orange, turquoise, royal blue, lime",1,1,Size,,1,1
variation,AR1800-04,NOTELUX,1,AR1800,0,visible,"Quaderno 96 fogli neutri","Notebook A6 con copertina morbida in PU, 96 pagine neutre, con elastico.
            ",1,9999,"13,15","0,43","0,32","0,2",100,110,"MIDOCEANBRANDS > Ufficio & Scrittura > Notebooks > Cover rigida","https://cdn1.midocean.com/image/700X700/ar1800-03.jpg,https://cdn1.midocean.com/image/170X170/ar1800-03.jpg,https://cdn1.midocean.com/image/700X700/ar1800-03.jpg,https://cdn1.midocean.com/image/700X700/ar1800-03b.jpg,https://cdn1.midocean.com/image/700X700/ar1800-03-open.jpg,https://cdn1.midocean.com/image/700X700/ar1800-03-ambiant.jpg",Color,blue,1,1,Size,,1,1
variation,AR1800-05,NOTELUX,1,AR1800,0,visible,"Quaderno 96 fogli neutri","Notebook A6 con copertina morbida in PU, 96 pagine neutre, con elastico.
            ",1,9999,"13,15","0,43","0,32","0,2",100,110,"MIDOCEANBRANDS > Ufficio & Scrittura > Notebooks > Cover rigida","https://cdn1.midocean.com/image/700X700/ar1800-03.jpg,https://cdn1.midocean.com/image/170X170/ar1800-03.jpg,https://cdn1.midocean.com/image/700X700/ar1800-03.jpg,https://cdn1.midocean.com/image/700X700/ar1800-03b.jpg,https://cdn1.midocean.com/image/700X700/ar1800-03-open.jpg,https://cdn1.midocean.com/image/700X700/ar1800-03-ambiant.jpg",Color,red,1,1,Size,,1,1
variation,AR1800-06,NOTELUX,1,AR1800,0,visible,"Quaderno 96 fogli neutri","Notebook A6 con copertina morbida in PU, 96 pagine neutre, con elastico.
            ",1,9999,"13,15","0,43","0,32","0,2",100,110,"MIDOCEANBRANDS > Ufficio & Scrittura > Notebooks > Cover rigida","https://cdn1.midocean.com/image/700X700/ar1800-03.jpg,https://cdn1.midocean.com/image/170X170/ar1800-03.jpg,https://cdn1.midocean.com/image/700X700/ar1800-03.jpg,https://cdn1.midocean.com/image/700X700/ar1800-03b.jpg,https://cdn1.midocean.com/image/700X700/ar1800-03-open.jpg,https://cdn1.midocean.com/image/700X700/ar1800-03-ambiant.jpg",Color,white,1,1,Size,,1,1
variation,AR1800-10,NOTELUX,1,AR1800,0,visible,"Quaderno 96 fogli neutri","Notebook A6 con copertina morbida in PU, 96 pagine neutre, con elastico.
            ",1,9999,"13,15","0,43","0,32","0,2",100,110,"MIDOCEANBRANDS > Ufficio & Scrittura > Notebooks > Cover rigida","https://cdn1.midocean.com/image/700X700/ar1800-03.jpg,https://cdn1.midocean.com/image/170X170/ar1800-03.jpg,https://cdn1.midocean.com/image/700X700/ar1800-03.jpg,https://cdn1.midocean.com/image/700X700/ar1800-03b.jpg,https://cdn1.midocean.com/image/700X700/ar1800-03-open.jpg,https://cdn1.midocean.com/image/700X700/ar1800-03-ambiant.jpg",Color,orange,1,1,Size,,1,1
variation,AR1800-12,NOTELUX,1,AR1800,0,visible,"Quaderno 96 fogli neutri","Notebook A6 con copertina morbida in PU, 96 pagine neutre, con elastico.
            ",1,9999,"13,15","0,43","0,32","0,2",100,110,"MIDOCEANBRANDS > Ufficio & Scrittura > Notebooks > Cover rigida","https://cdn1.midocean.com/image/700X700/ar1800-03.jpg,https://cdn1.midocean.com/image/170X170/ar1800-03.jpg,https://cdn1.midocean.com/image/700X700/ar1800-03.jpg,https://cdn1.midocean.com/image/700X700/ar1800-03b.jpg,https://cdn1.midocean.com/image/700X700/ar1800-03-open.jpg,https://cdn1.midocean.com/image/700X700/ar1800-03-ambiant.jpg",Color,turquoise,1,1,Size,,1,1
variation,AR1800-37,NOTELUX,1,AR1800,0,visible,"Quaderno 96 fogli neutri","Notebook A6 con copertina morbida in PU, 96 pagine neutre, con elastico.
            ",1,9999,"13,15","0,43","0,32","0,2",100,110,"MIDOCEANBRANDS > Ufficio & Scrittura > Notebooks > Cover rigida","https://cdn1.midocean.com/image/700X700/ar1800-03.jpg,https://cdn1.midocean.com/image/170X170/ar1800-03.jpg,https://cdn1.midocean.com/image/700X700/ar1800-03.jpg,https://cdn1.midocean.com/image/700X700/ar1800-03b.jpg,https://cdn1.midocean.com/image/700X700/ar1800-03-open.jpg,https://cdn1.midocean.com/image/700X700/ar1800-03-ambiant.jpg",Color,"royal blue",1,1,Size,,1,1
variation,AR1800-48,NOTELUX,1,AR1800,0,visible,"Quaderno 96 fogli neutri","Notebook A6 con copertina morbida in PU, 96 pagine neutre, con elastico.
            ",1,9999,"13,15","0,43","0,32","0,2",100,110,"MIDOCEANBRANDS > Ufficio & Scrittura > Notebooks > Cover rigida","https://cdn1.midocean.com/image/700X700/ar1800-03.jpg,https://cdn1.midocean.com/image/170X170/ar1800-03.jpg,https://cdn1.midocean.com/image/700X700/ar1800-03.jpg,https://cdn1.midocean.com/image/700X700/ar1800-03b.jpg,https://cdn1.midocean.com/image/700X700/ar1800-03-open.jpg,https://cdn1.midocean.com/image/700X700/ar1800-03-ambiant.jpg",Color,lime,1,1,Size,,1,1
